1   1    9.966e-01   1
1   2    9.966e-01   1
1   3    9.944e-01   1
1   4    1.778e-02   0
2   1    9.978e-01   1
2   2    9.978e-01   1
2   3    3.702e-01   0
2   4    1.126e-02   0
3   1    9.992e-01   1
3   2    9.992e-01   1
3   3    9.985e-01   1
3   4    1.737e-01   1
3   5    4.891e-03   1
4   1    9.966e-01   1
4   2    6.045e-01   1
4   3    1.391e-02   0
5   1    9.997e-01   1
5   2    9.997e-01   1
5   3    5.865e-02   1
5   4    1.569e-03   0
6   1    9.996e-01   1
6   2    9.996e-01   1
6   3    9.965e-01   1
6   4    5.575e-01   1
6   5    2.517e-03   0
7   1    9.625e-01   1
7   2    7.190e-01   1
7   3    5.271e-01   1
7   4    2.004e-01   1
7   5    5.042e-02   1
7   6    3.092e-03   1
8   1    9.999e-01   1
8   2    9.999e-01   1
8   3    2.044e-01   0
8   4    6.577e-04   0
9   1    9.851e-01   1
9   2    1.635e-02   1
10   1    9.984e-01   1
10   2    2.391e-01   0
10   3    6.531e-03   1
11   1    9.985e-01   1
11   2    9.985e-01   1
11   3    9.827e-01   1
11   4    7.657e-03   0
12   1    9.998e-01   1
12   2    9.998e-01   1
12   3    8.435e-01   1
12   4    1.025e-01   0
12   5    1.531e-03   0
13   1    9.986e-01   1
13   2    9.986e-01   1
13   3    9.986e-01   1
13   4    9.887e-01   1
13   5    5.175e-01   1
13   6    1.015e-02   0
14   1    9.995e-01   1
14   2    9.995e-01   1
14   3    9.995e-01   1
14   4    9.995e-01   1
14   5    5.964e-01   1
14   6    5.576e-02   1
14   7    3.944e-03   1
15   1    9.747e-01   1
15   2    9.623e-01   1
15   3    6.971e-02   0
15   4    9.364e-03   1
16   1    8.949e-01   1
16   2    9.084e-02   1
16   3    7.710e-03   1
17   1    9.960e-01   1
17   2    9.960e-01   1
17   3    1.683e-02   0
18   1    1.000e+00   1
18   2    1.000e+00   1
18   3    9.971e-01   1
18   4    9.484e-01   1
18   5    2.494e-02   0
18   6    1.255e-04   0
19   1    9.830e-01   1
19   2    2.172e-02   0
20   1    9.684e-01   1
20   2    9.195e-01   1
20   3    7.040e-01   1
20   4    4.229e-01   0
20   5    1.505e-02   1
21   1    9.966e-01   1
21   2    9.966e-01   1
21   3    2.624e-01   1
21   4    1.771e-02   0
22   1    9.999e-01   1
22   2    9.999e-01   1
22   3    9.738e-01   1
22   4    8.212e-02   1
22   5    3.723e-04   0
23   1    9.993e-01   1
23   2    9.993e-01   1
23   3    9.964e-01   1
23   4    4.658e-01   1
23   5    4.598e-03   0
24   1    9.997e-01   1
24   2    9.997e-01   1
24   3    9.997e-01   1
24   4    9.997e-01   1
24   5    9.997e-01   1
24   6    2.341e-03   0
25   1    9.999e-01   1
25   2    9.999e-01   1
25   3    9.999e-01   1
25   4    9.999e-01   1
25   5    9.987e-01   1
25   6    7.286e-02   1
25   7    6.481e-04   0
26   1    9.992e-01   1
26   2    9.992e-01   1
26   3    9.992e-01   1
26   4    9.969e-01   1
26   5    4.779e-03   0
27   1    9.999e-01   1
27   2    9.999e-01   1
27   3    9.999e-01   1
27   4    7.568e-01   1
27   5    2.289e-01   1
27   6    8.549e-04   0
